campanha,servico,plataforma,inicio,fim,investimento,cliques,impressoes,ctr,leads,cpl,conversoes,cpa,receita,roi,automacoes_executadas,posts_publicados,engajamento
Lançamento Produto - Instagram,Tráfego Pago,Instagram Ads,2024-04-23,2024-06-15,3763.16,44207,288503,15.32,16078,0.23,10796,0.35,8403915.91,223220.72,0,0,0.0
Black Friday - TikTok,Design,TikTok Ads,2025-03-14,2025-04-14,1392.4,5143,429806,1.2,1009,1.38,354,3.93,575619.76,41240.11,0,0,9.74
Natal Antecipado - Email,Tráfego Pago,Email Marketing,2025-04-03,2025-05-20,5059.09,46445,261011,17.79,17498,0.29,5352,0.95,6043502.72,119358.3,0,0,0.0
Natal Antecipado - WhatsApp,Automações,WhatsApp,2024-12-18,2025-01-31,3030.89,61219,351294,17.43,6810,0.45,935,3.24,235364.91,7665.54,47,0,0.0
Natal Antecipado - Google,Tráfego Pago,Google Ads,2025-02-09,2025-03-15,659.37,51656,277331,18.63,11811,0.06,6780,0.1,9153635.0,1388139.53,0,0,0.0
Anúncio Institucional - Google,Automações,Google Ads,2025-01-31,2025-02-25,7707.1,31802,310731,10.23,8543,0.9,1186,6.5,2069173.36,26747.63,11,0,0.0
Black Friday - Facebook,Tráfego Pago,Facebook Ads,2023-11-16,2024-01-01,7881.57,4195,375540,1.12,70,112.59,34,231.81,46317.62,487.67,0,0,0.0
Captação de Leads - Email,Design,Email Marketing,2023-03-13,2023-05-03,9251.99,93903,494437,18.99,11096,0.83,8835,1.05,5532385.12,59696.7,0,0,11.35
Natal Antecipado - Instagram,Copywriting,Instagram Ads,2025-06-18,2025-07-21,654.01,31214,298787,10.45,11577,0.06,3460,0.19,4919549.3,752113.16,0,0,13.33
Promoção Verão - WhatsApp,Automações,WhatsApp,2024-04-30,2024-05-29,5486.1,14695,408166,3.6,3948,1.39,1457,3.77,899447.64,16295.03,34,0,0.0
Promoção Verão - Email,Automações,Email Marketing,2023-07-30,2023-09-13,8755.13,45103,443332,10.17,799,10.96,621,14.1,72027.21,722.69,42,0,0.0
Campanha de Conversão - Email,Copywriting,Email Marketing,2024-12-20,2024-12-28,662.11,9023,160448,5.62,2238,0.3,1336,0.5,2590302.52,391119.36,0,0,12.62
Campanha de Engajamento - Facebook,Tráfego Pago,Facebook Ads,2023-09-04,2023-10-11,5972.56,6649,303980,2.19,548,10.9,162,36.87,84245.73,1310.55,0,0,0.0
Campanha de Engajamento - Email,Tráfego Pago,Email Marketing,2023-01-14,2023-02-27,1857.83,49509,488851,10.13,13278,0.14,7363,0.25,4007924.25,215631.49,0,0,0.0
Promoção Verão - TikTok,Social Media,TikTok Ads,2024-05-17,2024-06-14,2544.29,21619,205588,10.52,4962,0.51,3516,0.72,6690123.88,262846.59,0,2,1.95
Natal Antecipado - Google,Social Media,Google Ads,2024-12-29,2025-02-05,7799.06,7678,44998,17.06,1060,7.36,1005,7.76,1742641.56,22244.25,0,4,7.3
Promoção Relâmpago - TikTok,Social Media,TikTok Ads,2024-06-11,2024-07-12,1048.53,15922,171207,9.3,1936,0.54,758,1.38,314707.55,29914.17,0,19,5.31
Campanha de Engajamento - TikTok,Automações,TikTok Ads,2023-01-06,2023-03-01,6758.2,56968,379468,15.01,22098,0.31,4191,1.61,4804978.63,70998.5,19,0,0.0
Lançamento Produto - Facebook,Design,Facebook Ads,2024-05-18,2024-07-17,2033.44,70068,365541,19.17,31301,0.06,14114,0.14,3179055.11,156238.77,0,0,0.48
Campanha de Engajamento - WhatsApp,Tráfego Pago,WhatsApp,2023-07-17,2023-08-11,7728.93,62987,471995,13.34,27379,0.28,25126,0.31,19997791.21,258639.45,0,0,0.0
Remarketing - Google,Tráfego Pago,Google Ads,2024-11-22,2025-01-05,2907.46,25491,350643,7.27,12323,0.24,511,5.69,711043.69,24355.84,0,0,0.0
Lançamento Produto - TikTok,Copywriting,TikTok Ads,2025-04-02,2025-05-01,9219.01,20146,464861,4.33,8851,1.04,3919,2.35,5463299.63,59161.24,0,0,0.23
Black Friday - TikTok,Copywriting,TikTok Ads,2023-03-27,2023-04-15,7684.91,4039,39364,10.26,22,349.31,2,3842.45,487.09,-93.66,0,0,8.37
Campanha de Conversão - WhatsApp,Tráfego Pago,WhatsApp,2023-08-20,2023-09-01,7930.85,18993,121321,15.66,9474,0.84,7701,1.03,5684418.23,71574.77,0,0,0.0
Lançamento Produto - TikTok,Copywriting,TikTok Ads,2023-12-18,2024-01-30,8958.39,18465,172156,10.73,4330,2.07,1949,4.6,2860898.99,31835.41,0,0,3.59
Captação de Leads - Google,Tráfego Pago,Google Ads,2024-06-29,2024-07-29,7492.6,7171,113170,6.34,1202,6.23,372,20.14,308598.8,4018.71,0,0,0.0
Black Friday - Facebook,Copywriting,Facebook Ads,2024-04-04,2024-05-04,1697.0,50437,344401,14.64,508,3.34,266,6.38,274375.02,16068.24,0,0,1.17
Remarketing - Email,Tráfego Pago,Email Marketing,2024-01-18,2024-03-12,4176.4,5400,63236,8.54,2310,1.81,622,6.71,1178056.47,28107.46,0,0,0.0
Captação de Leads - Instagram,Copywriting,Instagram Ads,2025-04-16,2025-05-15,9778.23,12250,319445,3.83,1796,5.44,1581,6.18,146064.49,1393.77,0,0,11.13
Campanha de Conversão - Facebook,Design,Facebook Ads,2023-04-08,2023-04-24,8906.58,2579,42532,6.06,265,33.61,109,81.71,176202.28,1878.34,0,0,10.93
Campanha de Engajamento - TikTok,Social Media,TikTok Ads,2023-08-10,2023-10-09,6990.21,661,9052,7.3,90,77.67,76,91.98,57818.29,727.13,0,10,13.92
Campanha de Conversão - Google,Design,Google Ads,2023-10-04,2023-10-12,8116.69,23247,139759,16.63,1679,4.83,490,16.56,754572.79,9196.56,0,0,3.58
Promoção Verão - Email,Design,Email Marketing,2025-03-01,2025-03-30,6622.45,27823,168221,16.54,12329,0.54,3222,2.06,4370811.15,65899.91,0,0,9.72
Anúncio Institucional - TikTok,Design,TikTok Ads,2023-07-25,2023-08-04,667.04,64643,356533,18.13,18318,0.04,8588,0.08,7768254.23,1164485.97,0,0,4.35
Remarketing - WhatsApp,Design,WhatsApp,2024-03-06,2024-04-14,5867.03,16691,292319,5.71,5001,1.17,4782,1.23,5530478.38,94163.68,0,0,0.78
Natal Antecipado - Instagram,Design,Instagram Ads,2024-05-02,2024-06-25,5420.49,554,22803,2.43,140,38.72,61,88.86,58491.25,979.08,0,0,10.28
Remarketing - Google,Social Media,Google Ads,2024-09-23,2024-10-26,9523.97,35177,449217,7.83,11822,0.81,6435,1.48,7029709.68,73710.71,0,30,1.76
Natal Antecipado - Google,Automações,Google Ads,2024-08-26,2024-09-29,6247.68,30220,453437,6.66,11891,0.53,11635,0.54,18210299.91,291372.99,35,0,0.0
Anúncio Institucional - Instagram,Automações,Instagram Ads,2023-06-06,2023-06-28,6092.76,53317,425316,12.54,10691,0.57,103,59.15,31790.01,421.77,47,0,0.0
Anúncio Institucional - WhatsApp,Design,WhatsApp,2025-06-02,2025-07-17,6971.61,11443,61258,18.68,3939,1.77,3353,2.08,3998880.99,57259.51,0,0,5.24
Promoção Relâmpago - Google,Tráfego Pago,Google Ads,2025-02-10,2025-03-07,7277.48,81659,433259,18.85,15388,0.47,8271,0.88,10552457.48,144901.53,0,0,0.0
Captação de Leads - TikTok,Automações,TikTok Ads,2023-06-16,2023-07-09,3901.47,16753,440806,3.8,8281,0.47,2508,1.56,3130603.42,80141.64,18,0,0.0
Campanha de Engajamento - TikTok,Design,TikTok Ads,2024-04-29,2024-06-14,4818.89,39683,302871,13.1,15463,0.31,11763,0.41,23393811.64,485360.59,0,0,7.78
Promoção Verão - Google,Copywriting,Google Ads,2023-06-10,2023-07-02,5574.14,8710,341916,2.55,2353,2.37,1253,4.45,444018.94,7865.69,0,0,14.3
Promoção Relâmpago - WhatsApp,Copywriting,WhatsApp,2024-02-11,2024-03-13,6461.59,21528,239340,8.99,332,19.46,45,143.59,88337.08,1267.11,0,0,10.56
Lançamento Produto - WhatsApp,Automações,WhatsApp,2024-03-09,2024-03-30,6625.47,50036,441161,11.34,7990,0.83,1206,5.49,2082116.78,31325.95,17,0,0.0
Captação de Leads - TikTok,Social Media,TikTok Ads,2024-01-12,2024-02-11,8918.45,32001,374913,8.54,1687,5.29,971,9.18,511215.01,5632.11,0,0,1.08
Promoção Verão - WhatsApp,Copywriting,WhatsApp,2025-03-08,2025-05-06,4421.79,1242,9533,13.03,505,8.76,156,28.34,239803.99,5323.23,0,0,8.9
Captação de Leads - TikTok,Tráfego Pago,TikTok Ads,2024-08-29,2024-09-25,7140.38,2610,158576,1.65,794,8.99,335,21.31,329864.43,4519.7,0,0,0.0
Promoção Relâmpago - Google,Design,Google Ads,2023-12-18,2023-12-26,7857.67,50652,474338,10.68,13536,0.58,3520,2.23,1748320.29,22149.86,0,0,6.87
Natal Antecipado - Google,Design,Google Ads,2024-01-21,2024-03-07,4579.86,23452,138630,16.92,10544,0.43,1564,2.93,2687773.95,58586.81,0,0,1.56
Campanha de Conversão - Email,Copywriting,Email Marketing,2025-04-21,2025-05-09,6492.87,19658,103881,18.92,5857,1.11,4187,1.55,3845094.69,59120.26,0,0,8.37
Promoção Verão - Facebook,Social Media,Facebook Ads,2025-04-28,2025-06-01,3873.66,4440,287339,1.55,145,26.71,90,43.04,121493.74,3036.41,0,8,10.2
Anúncio Institucional - Email,Social Media,Email Marketing,2025-01-23,2025-02-23,6878.78,24193,130659,18.52,8939,0.77,5204,1.32,9210633.29,133799.23,0,7,13.45
Campanha de Conversão - Email,Tráfego Pago,Email Marketing,2025-03-31,2025-05-03,1257.74,38860,294113,13.21,12192,0.1,3975,0.32,1435728.0,114051.41,0,0,0.0
Campanha de Engajamento - TikTok,Social Media,TikTok Ads,2025-03-14,2025-03-28,3582.37,11615,85505,13.58,1012,3.54,878,4.08,1438598.23,40057.72,0,16,6.93
Captação de Leads - Email,Tráfego Pago,Email Marketing,2023-10-30,2023-12-12,319.7,18056,99862,18.08,167,1.91,3,106.57,2465.81,671.29,0,0,0.0
Campanha de Engajamento - Email,Design,Email Marketing,2024-06-21,2024-07-22,7733.42,109,309771,0.04,37,209.01,5,1546.68,2193.04,-71.64,0,0,13.1
Campanha de Engajamento - WhatsApp,Automações,WhatsApp,2024-01-12,2024-02-28,9793.35,25801,161400,15.99,5856,1.67,3198,3.06,2243813.56,22811.6,47,0,0.0
Campanha de Engajamento - WhatsApp,Automações,WhatsApp,2024-09-13,2024-10-07,4565.93,5342,181803,2.94,2401,1.9,1327,3.44,1377247.44,30063.57,12,0,0.0
Anúncio Institucional - TikTok,Design,TikTok Ads,2025-03-04,2025-04-18,6912.0,3097,23235,13.33,322,21.47,294,23.51,542546.52,7749.34,0,0,9.46
Black Friday - TikTok,Social Media,TikTok Ads,2023-03-07,2023-03-17,8416.29,21791,154347,14.12,5559,1.51,1792,4.7,531249.95,6212.16,0,14,6.5
Lançamento Produto - Email,Copywriting,Email Marketing,2023-10-03,2023-10-15,7673.27,6293,490355,1.28,2858,2.68,766,10.02,1353684.74,17541.56,0,0,13.14
Promoção Verão - Email,Tráfego Pago,Email Marketing,2025-05-18,2025-06-07,6689.65,17493,137309,12.74,6377,1.05,4764,1.4,4754813.78,70977.17,0,0,0.0
Promoção Relâmpago - Google,Social Media,Google Ads,2023-09-11,2023-10-08,4655.65,22248,277937,8.0,8145,0.57,2536,1.84,3420415.96,73368.06,0,0,7.99
Campanha de Conversão - Google,Tráfego Pago,Google Ads,2023-02-23,2023-04-16,8854.41,84096,449586,18.71,10195,0.87,3070,2.88,3960186.24,44625.58,0,0,0.0
Promoção Verão - Facebook,Tráfego Pago,Facebook Ads,2025-06-19,2025-08-11,6770.23,24736,365514,6.77,6251,1.08,5475,1.24,4348572.98,64130.8,0,0,0.0
Campanha de Conversão - Google,Social Media,Google Ads,2024-08-30,2024-10-23,4666.59,9845,49893,19.73,4437,1.05,1872,2.49,585229.47,12440.84,0,14,13.41
Promoção Verão - Instagram,Tráfego Pago,Instagram Ads,2023-08-26,2023-10-13,4637.98,5531,204657,2.7,1762,2.63,1598,2.9,1076227.3,23104.66,0,0,0.0
Promoção Verão - Instagram,Automações,Instagram Ads,2024-05-19,2024-05-27,8058.62,758,13326,5.69,111,72.6,57,141.38,53245.21,560.72,46,0,0.0
Promoção Relâmpago - WhatsApp,Design,WhatsApp,2024-06-17,2024-07-25,6269.35,2483,358990,0.69,484,12.95,462,13.57,619195.73,9776.55,0,0,3.11
Captação de Leads - Instagram,Tráfego Pago,Instagram Ads,2024-03-28,2024-04-13,3331.71,40387,304855,13.25,3096,1.08,596,5.59,373542.64,11111.74,0,0,0.0
Campanha de Engajamento - WhatsApp,Design,WhatsApp,2025-04-20,2025-05-23,7320.06,33787,192065,17.59,747,9.8,42,174.29,72781.03,894.27,0,0,13.42
Campanha de Conversão - Google,Design,Google Ads,2023-01-28,2023-02-12,537.7,30424,185783,16.38,14198,0.04,12722,0.04,5575221.56,1036764.71,0,0,11.14
Campanha de Engajamento - Instagram,Copywriting,Instagram Ads,2024-09-19,2024-11-16,532.71,14003,154218,9.08,360,1.48,346,1.54,624116.44,117058.76,0,0,4.58
Promoção Verão - Facebook,Social Media,Facebook Ads,2023-07-26,2023-09-10,2311.43,19714,126617,15.57,5140,0.45,2029,1.14,2933971.53,126833.18,0,2,5.49
Campanha de Engajamento - Email,Tráfego Pago,Email Marketing,2023-05-26,2023-06-08,6101.18,21580,405711,5.32,2583,2.36,480,12.71,942449.58,15347.01,0,0,0.0
Campanha de Conversão - TikTok,Copywriting,TikTok Ads,2024-10-11,2024-11-11,9339.12,65855,372770,17.67,12002,0.78,6737,1.39,12923871.26,138284.25,0,0,14.09
Campanha de Conversão - Email,Copywriting,Email Marketing,2025-02-10,2025-03-03,8210.08,23261,224304,10.37,8785,0.93,4950,1.66,3662497.24,44509.76,0,0,6.5
Promoção Relâmpago - WhatsApp,Tráfego Pago,WhatsApp,2023-03-09,2023-05-02,6803.0,42230,393181,10.74,6267,1.09,5549,1.23,2968650.96,43537.38,0,0,0.0
Anúncio Institucional - WhatsApp,Copywriting,WhatsApp,2023-07-30,2023-08-16,8416.55,2498,46924,5.32,709,11.87,618,13.62,97911.92,1063.33,0,0,12.46
Remarketing - Google,Social Media,Google Ads,2024-12-24,2025-01-18,9540.28,8403,429233,1.96,3114,3.06,163,58.53,182420.83,1812.11,0,1,4.02
Natal Antecipado - Google,Copywriting,Google Ads,2023-12-24,2024-01-03,7677.89,31274,198007,15.79,1781,4.31,543,14.14,913511.71,11797.95,0,0,14.16
Campanha de Conversão - WhatsApp,Design,WhatsApp,2023-01-09,2023-03-03,8622.83,54218,386920,14.01,17808,0.48,6253,1.38,12433179.76,144089.09,0,0,9.62
Promoção Relâmpago - TikTok,Tráfego Pago,TikTok Ads,2025-06-02,2025-07-27,6593.61,65094,490317,13.28,1718,3.84,1098,6.01,2142275.08,32390.17,0,0,0.0
Remarketing - Instagram,Tráfego Pago,Instagram Ads,2024-08-10,2024-08-18,6602.72,20213,487813,4.14,2257,2.93,1936,3.41,3747892.92,56662.86,0,0,0.0
Captação de Leads - Email,Tráfego Pago,Email Marketing,2023-03-03,2023-03-25,5983.73,57220,330988,17.29,8215,0.73,6753,0.89,6530606.58,109039.39,0,0,0.0
Remarketing - TikTok,Design,TikTok Ads,2025-01-24,2025-02-12,8444.09,14417,387290,3.72,2606,3.24,679,12.44,595049.89,6946.94,0,0,8.67
Captação de Leads - Instagram,Copywriting,Instagram Ads,2023-09-19,2023-11-16,8251.74,21745,193429,11.24,8211,1.0,6270,1.32,2585610.15,31234.12,0,0,10.37
Promoção Relâmpago - TikTok,Design,TikTok Ads,2023-02-05,2023-03-10,1133.65,4622,95335,4.85,425,2.67,28,40.49,51389.22,4433.08,0,0,0.17
Black Friday - Facebook,Tráfego Pago,Facebook Ads,2024-10-07,2024-11-15,4039.03,43649,490747,8.89,21432,0.19,13089,0.31,4625126.71,114410.83,0,0,0.0
Anúncio Institucional - Facebook,Design,Facebook Ads,2023-01-27,2023-03-22,1254.61,11736,293380,4.0,3385,0.37,2902,0.43,2022054.2,161069.94,0,0,2.98
Campanha de Engajamento - Email,Tráfego Pago,Email Marketing,2023-07-21,2023-08-05,1043.37,5650,104546,5.4,2818,0.37,2161,0.48,3684835.81,353066.74,0,0,0.0
Lançamento Produto - Facebook,Social Media,Facebook Ads,2023-09-12,2023-10-02,2657.49,4975,227762,2.18,127,20.93,67,39.66,127134.86,4684.02,0,21,9.67
Promoção Verão - TikTok,Tráfego Pago,TikTok Ads,2023-11-20,2024-01-07,3473.3,16890,445554,3.79,957,3.63,158,21.98,27968.99,705.26,0,0,0.0
Black Friday - WhatsApp,Copywriting,WhatsApp,2025-01-06,2025-02-24,1371.72,13540,235833,5.74,2867,0.48,896,1.53,1304968.87,95033.76,0,0,10.73
Captação de Leads - WhatsApp,Design,WhatsApp,2024-03-29,2024-05-13,2149.76,20930,148797,14.07,1174,1.83,836,2.57,1472414.77,68392.05,0,0,2.15
Campanha de Engajamento - WhatsApp,Automações,WhatsApp,2024-09-08,2024-09-30,8974.07,13327,125087,10.65,2687,3.34,2071,4.33,932749.37,10293.83,45,0,0.0
Campanha de Conversão - Instagram,Copywriting,Instagram Ads,2024-09-11,2024-11-08,6987.87,55074,444995,12.38,19873,0.35,19662,0.36,32340476.45,462708.79,0,0,7.96
Anúncio Institucional - Email,Automações,Email Marketing,2025-06-28,2025-08-09,6320.97,39864,229554,17.37,1387,4.56,1245,5.08,2322280.3,36639.3,2,0,0.0
Captação de Leads - Email,Copywriting,Email Marketing,2023-08-26,2023-10-13,3257.56,78465,442606,17.73,36894,0.09,377,8.64,359246.38,10928.08,0,0,2.43
Campanha de Engajamento - Email,Copywriting,Email Marketing,2023-02-12,2023-03-17,7482.93,10199,290987,3.5,1864,4.01,1673,4.47,358571.28,4691.86,0,0,2.5
Campanha de Conversão - Email,Tráfego Pago,Email Marketing,2024-08-09,2024-09-27,4436.67,6663,69775,9.55,1041,4.26,850,5.22,117837.14,2555.98,0,0,0.0
Black Friday - Google,Automações,Google Ads,2024-10-17,2024-12-16,7299.1,19586,411034,4.77,8540,0.85,3422,2.13,916118.74,12451.12,35,0,0.0
Natal Antecipado - Instagram,Social Media,Instagram Ads,2023-07-24,2023-08-08,3868.07,28351,398124,7.12,3593,1.08,2431,1.59,878340.0,22607.45,0,25,5.43
Promoção Relâmpago - Google,Design,Google Ads,2024-01-07,2024-02-26,4769.97,13882,183058,7.58,5846,0.82,4123,1.16,1456567.15,30436.19,0,0,14.07
Campanha de Conversão - Facebook,Social Media,Facebook Ads,2023-05-19,2023-07-06,3697.41,11495,241940,4.75,5021,0.74,3106,1.19,717363.14,19301.77,0,8,14.26
Promoção Verão - Email,Tráfego Pago,Email Marketing,2023-05-12,2023-06-05,4175.91,19305,114764,16.82,3664,1.14,144,29.0,96627.93,2213.94,0,0,0.0
Promoção Verão - Google,Social Media,Google Ads,2024-06-12,2024-06-27,5977.58,21853,312752,6.99,10137,0.59,5813,1.03,5840592.9,97608.32,0,21,6.97
Anúncio Institucional - TikTok,Copywriting,TikTok Ads,2023-01-18,2023-03-09,4657.28,13997,465604,3.01,140,33.27,117,39.81,157877.01,3289.9,0,0,10.04
Campanha de Engajamento - Google,Copywriting,Google Ads,2023-02-14,2023-03-30,6364.28,22370,158810,14.09,2013,3.16,480,13.26,891862.91,13913.57,0,0,14.38
Natal Antecipado - WhatsApp,Social Media,WhatsApp,2024-03-06,2024-04-23,8245.38,44487,273994,16.24,21951,0.38,6573,1.25,3378259.82,40871.55,0,7,13.44
Campanha de Conversão - Facebook,Design,Facebook Ads,2024-07-21,2024-08-27,5302.39,74544,397610,18.75,7688,0.69,6937,0.76,9079989.51,171143.34,0,0,2.44
Campanha de Engajamento - Email,Design,Email Marketing,2023-07-13,2023-08-09,9811.14,48029,276903,17.35,11170,0.88,10419,0.94,20533855.53,209191.23,0,0,2.1
Natal Antecipado - WhatsApp,Social Media,WhatsApp,2023-11-21,2024-01-11,597.02,24400,229901,10.61,10757,0.06,3556,0.17,1106607.13,185255.12,0,16,0.62
Captação de Leads - Google,Automações,Google Ads,2024-12-27,2025-01-11,1903.08,25430,132239,19.23,6455,0.29,1631,1.17,1140983.9,59854.59,3,0,0.0
Promoção Relâmpago - Google,Design,Google Ads,2024-06-24,2024-08-08,928.19,16248,123527,13.15,1933,0.48,140,6.63,52661.56,5573.58,0,0,1.64
Anúncio Institucional - WhatsApp,Automações,WhatsApp,2024-04-14,2024-04-29,859.56,8295,395049,2.1,1449,0.59,949,0.91,1486647.95,172854.53,34,0,0.0
